98,3200500220001,CALERA,CALERA,CENTRO
99,3200500220002,CALERA,CALERA,DE LOS DOWIS
100,3200500220003,CALERA,CALERA,DE LA LOMA
101,3200500220004,CALERA,CALERA,DE LA MANGA
102,3200500220005,CALERA,CALERA,DEL PANTE‡N
103,3200500220006,CALERA,CALERA,DE LA SANTA CRUZ
104,3200600010000,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,VARIAS
105,3200600010001,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,MAGISTERIAL
106,3200600010002,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,LOMA LINDA
107,3200600010003,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,EL BAJ÷O
108,3200600010005,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,VIEJO
109,3200600010006,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,DE LOS AZULES
110,3200600010007,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,CENTRO
111,3200600010010,CA•ITAS DE FELIPE PESCADOR,CA•ITAS DE FELIPE PESCADOR,LOMA VERDE
112,3200700010000,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,VARIAS
113,3200700010001,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,BELLA VISTA
114,3200700010002,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,CABRESTANTE
115,3200700010003,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,CENTRO
116,3200700010004,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,CHIHUAHUA
117,3200700010005,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,EL CRUCE
118,3200700010006,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,LA ESTRELLA
119,3200700010007,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,EL GRASERO
120,3200700010008,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,LAS LAJAS
121,3200700010009,CONCEPCI‡N DEL ORO,CONCEPCI‡N DEL ORO,OBRERA
122,3200800010000,CUAUHTêMOC,CUAUHTêMOC,VARIAS
123,3200800010001,CUAUHTêMOC,CUAUHTêMOC,MONTECILLO
124,3200800010002,CUAUHTêMOC,CUAUHTêMOC,INDEPENDENCIA
125,3200800010003,CUAUHTêMOC,CUAUHTêMOC,LAS GALLINAS
126,3200800010004,CUAUHTêMOC,CUAUHTêMOC,CENTRO
127,3200800010005,CUAUHTêMOC,CUAUHTêMOC,EL PEDREGOSO
128,3200800010006,CUAUHTêMOC,CUAUHTêMOC,LA RINCONADA
129,3200800010007,CUAUHTêMOC,CUAUHTêMOC,LA CHIRIPA
130,3200800010008,CUAUHTêMOC,CUAUHTêMOC,CASTORENA
